"Ticker","Nome","Negócios","Última (R$)","Variação"
"AMER3","Americanas","57.837.600","0,78","+1,30%"
"HAPV3","Hapvida","43.329.200","3,92","+0,00%"
"JFEN3","João Fortes","29.531.100","0,34","+6,25%"
"COGN3","Cogna","27.321.900","1,64","-2,96%"
"PETR4","Petrobras","25.130.400","37,43","-1,29%"
"SBSP3","Sabesp","23.439.100","88,64","+1,89%"
"BBDC4","Banco Bradesco","22.499.400","12,54","-0,71%"
"VALE3","Vale","22.348.000","60,23","-1,34%"
"B3SA3","B3","20.268.100","11,18","-0,97%"
"ABEV3","Ambev","20.140.300","11,78","-0,25%"
"GGBR4","Gerdau","19.516.100","18,04","-4,50%"
"MGLU3","Magazine Luiza","18.538.000","12,18","-1,22%"
"RAIZ4","Raízen","17.933.900","3,04","-1,94%"
"ITUB4","Itaú Unibanco","16.878.700","34,19","-0,15%"
"ASAI3","Assaí","16.497.700","10,48","-2,06%"
"CPLE6","Copel","15.589.900","10,19","-1,16%"
"CRFB3","Carrefour Brasil","15.298.600","10,34","-3,36%"
"CMIN3","CSN Mineração","14.692.600","4,95","-4,99%"
"EMBR3","Embraer","14.686.400","41,87","+8,47%"
"ITSA4","Itaúsa","14.236.000","10,27","-1,15%"
"RENT3","Localiza","13.644.400","43,38","+1,00%"
"CBAV3","CBA","12.998.800","5,67","-12,50%"
"PCAR3","Grupo Pão de Açúcar","12.850.100","2,90","+3,20%"
"USIM5","Usiminas","11.029.500","8,29","-3,15%"
"BBAS3","Banco do Brasil","10.926.500","26,98","-0,59%"
"AZUL4","Azul","10.773.800","8,11","-2,99%"
"CVCB3","CVC","10.159.700","1,84","-1,60%"
"LREN3","Lojas Renner","9.209.200","13,18","-2,73%"
"CMIG4","CEMIG","8.176.700","10,68","-1,20%"
"PETR3","Petrobras","7.916.500","40,49","-1,41%"
"GOAU4","Metalúrgica Gerdau","7.825.800","10,57","-5,03%"
"MULT3","Multiplan","7.586.400","25,26","-1,37%"
"CIEL3","Cielo","7.457.700","5,75","+0,00%"
"VBBR3","Vibra Energia","7.356.300","22,91","-1,59%"
"TRPL4","Transmissão Paulista","6.834.100","24,59","-0,28%"
"ELET3","Eletrobras","6.798.200","37,25","-1,56%"
"PETZ3","Petz","6.668.900","3,75","-3,60%"
"CSNA3","Siderúrgica Nacional","6.535.800","12,04","-5,05%"
"LWSA3","Locaweb","6.507.900","4,38","-3,10%"
"AMBP3","Ambipar","6.443.400","33,07","+10,23%"
"MRVE3","MRV","6.243.000","6,66","-2,20%"
"PRIO3","PetroRio","6.027.800","43,80","-1,99%"
"RAIL3","Rumo","6.026.500","22,37","-1,32%"
"MLAS3","Multilaser","5.870.900","1,92","-4,48%"
"RADL3","RaiaDrogasil","5.697.100","26,09","-0,04%"
"SUZB3","Suzano","5.375.000","53,11","-0,32%"
"NTCO3","Natura","5.301.300","14,99","-0,27%"
"CSAN3","Cosan","5.284.900","13,69","-2,56%"
"JBSS3","JBS","5.284.500","30,58","-2,46%"
"CPLE3","Copel","5.146.900","9,03","-1,10%"
"HBSA3","Hidrovias do Brasil","5.127.700","3,76","-0,53%"
"BBDC3","Banco Bradesco","5.062.100","11,39","-1,30%"
"BRFS3","BRF","4.999.700","20,94","-0,76%"
"AZEV4","Azevedo & Travassos","4.947.000","1,67","+5,70%"
"WEGE3","WEG","4.917.600","47,05","-0,25%"
"VAMO3","Grupo Vamos","4.910.700","8,90","-1,22%"
"ENEV3","Eneva","4.909.600","12,65","-1,56%"
"BEEF3","Minerva","4.749.800","6,32","-2,92%"
"SOMA3","Grupo Soma","4.609.000","6,35","-0,78%"
"UGPA3","Ultrapar","4.541.400","22,83","-1,08%"
"IFCM3","Infracommerce","4.253.000","0,36","-2,70%"
"RDOR3","Rede D'Or","4.140.400","27,80","-1,28%"
"RRRP3","3R Petroleum","4.120.700","26,68","-1,91%"
"ANIM3","Ânima Educação","4.098.300","3,45","-3,90%"
"HYPE3","Hypera","4.073.700","28,69","-1,00%"
"BHIA3","Casas Bahia","3.929.900","4,77","-1,24%"
"EQTL3","Equatorial Energia","3.910.000","32,74","-1,24%"
"RECV3","PetroRecôncavo","3.887.900","20,47","-2,29%"
"BBSE3","BB Seguridade","3.830.900","34,16","-0,84%"
